query	reference	ANI
genome_A	genome_B	99.95
genome_A	genome_C	99.91
genome_A	genome_D	97.10
genome_A	genome_E	97.05
genome_A	genome_G	96.20
genome_B	genome_A	99.95
genome_B	genome_C	99.93
genome_B	genome_D	97.15
genome_B	genome_E	97.10
genome_B	genome_G	96.25
genome_C	genome_A	99.91
genome_C	genome_B	99.93
genome_C	genome_D	97.08
genome_C	genome_E	97.02
genome_C	genome_G	96.18
genome_D	genome_E	99.94
genome_D	genome_F	99.90
genome_D	genome_A	97.10
genome_D	genome_B	97.15
genome_D	genome_G	96.30
genome_E	genome_D	99.94
genome_E	genome_F	99.89
genome_E	genome_A	97.05
genome_E	genome_B	97.10
genome_E	genome_G	96.35
genome_F	genome_D	99.90
genome_F	genome_E	99.89
genome_F	genome_A	97.00
genome_F	genome_B	97.05
genome_F	genome_G	96.30
genome_G	genome_H	99.92
genome_G	genome_I	99.88
genome_G	genome_A	96.20
genome_G	genome_D	96.30
genome_H	genome_G	99.92
genome_H	genome_I	99.90
genome_H	genome_A	96.25
genome_H	genome_D	96.35
genome_I	genome_G	99.88
genome_I	genome_H	99.90
genome_I	genome_A	96.15
genome_I	genome_D	96.25
